INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 269 | TimLog::logInfo | succ to delete older log file: TIM_Firmware_Update.log
INFO: 2017-06-21 10:11:28 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 06 00 01 34 03 
INFO: 2017-06-21 10:11:28 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 07 01 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 93 76 00 08 00 F0 10 02 F8 00 F0 3A F8 0A A0 90 E8 00 0C 82 44 52 03 
INFO: 2017-06-21 10:11:28 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 07 00 01 35 03 
INFO: 2017-06-21 10:11:28 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 08 01 83 44 AA F1 01 07 DA 45 01 D1 00 F0 2F F8 AF F2 09 0E BA E8 0F 00 13 F0 01 0F 18 BF FB 1A 43 F0 01 10 03 18 47 C8 73 00 00 E8 73 00 00 10 10 3A 24 BF 78 C8 78 C1 FA D8 52 07 24 BF 30 C8 30 C1 44 BF 4B 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 08 00 01 3A 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 09 01 04 68 0C 60 70 47 00 00 00 23 00 24 00 25 00 26 10 10 3A 28 BF 78 C1 FB D8 52 07 28 BF 30 C1 48 BF 0B 60 70 47 1F B5 1F BD 10 10 B5 10 10 BD 07 F0 83 F9 11 46 FF F7 F7 FF 10 02 F0 69 FE 07 F0 A1 F9 10 03 B4 57 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 09 00 01 3B 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 0A 01 FF F7 F2 FF 10 03 BC 07 F0 A9 F9 00 00 EF F3 09 80 70 47 80 F3 09 88 70 47 EF F3 08 80 70 47 80 F3 08 88 70 47 40 BA 70 47 C0 BA 70 47 0C B5 00 20 01 90 00 90 6C 48 00 68 40 F4 80 30 6A 49 08 60 79 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 0A 00 01 38 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 0B 01 00 BF 69 48 00 68 00 F4 00 30 00 90 01 98 40 1C 01 90 00 98 20 B9 4F F6 FF 71 01 98 88 42 F0 D1 61 48 00 68 00 F4 00 30 10 10 B1 01 20 00 90 01 E0 00 20 00 90 00 98 01 28 43 D1 5C 48 00 68 40 F0 E7 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 0B 00 01 39 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 0C 01 10 10 00 5A 49 08 60 08 46 00 68 20 F0 10 03 00 08 60 08 46 00 68 40 F0 10 02 00 08 60 53 48 40 68 52 49 48 60 08 46 40 68 48 60 08 46 40 68 40 F4 80 60 48 60 08 46 40 68 20 F4 7C 10 10 48 60 08 46 40 68 B7 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 0C 00 01 3E 03 
